name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
Либерия,,,,,,Q1014,Либерия
Либия,,,,,,Q1016,Либия
Ливан,,,,,,Q822,Ливан
Литва,,,,,,Q37,Литва
Лихтенщайн,,,,,,Q347,Лихтенщайн
Люксембург,,,,,,Q32,Люксембург
Мавритания,,,,,,Q1025,Мавритания
Мавриций,,,,,,Q1027,Мавриций
Мадагаскар,,,,,,Q1019,Мадагаскар
Макао,,,,,,Q14773,Макао
Малави,,,,,,Q1020,Малави
Малайзия,,,,,,Q833,Малайзия
Малдиви,,,,,,Q826,Малдиви
Мали,,,,,,Q912,Мали
Малта,,,,,,Q233,Малта
Ман (остров),,,,,,Q9676,Ман (остров)
Мароко,,,,,,Q1028,Мароко
Мартиника,,,,,,Q17054,Мартиника
Маршалови острови,,,,,,Q709,Маршалови острови
Мексико,,,,,,Q96,Мексико
Мианмар,,,,,,Q836,Мианмар
Микронезия (държава),,,,,,Q702,Микронезия (държава)
Мозамбик,,,,,,Q1029,Мозамбик
Молдова,,,,,,Q217,Молдова
Монако,,,,,,Q235,Монако
Монголия,,,,,,Q711,Монголия
Монсерат,,,,,,Q13353,Монсерат
Наваса,,,,,,Q25359,Наваса
Нагорно-Карабахска република,,,,,,Q244165,Нагорно-Карабахска република
Намибия,,,,,,Q1030,Намибия
Науру,,,,,,Q697,Науру
Непал,,,,,,Q837,Непал
Нигер,,,,,,Q1032,Нигер
Нигерия,,,,,,Q1033,Нигерия
Нидерландия,,,,,,Q55,Нидерландия
Никарагуа,,,,,,Q811,Никарагуа
Нова Зеландия,,,,,,Q664,Нова Зеландия
Норвегия,,,,,,Q20,Норвегия
Оман,,,,,,Q842,Оман
Пакистан,,,,,,Q843,Пакистан
Палау,,,,,,Q695,Палау
Панама,,,,,,Q804,Панама
Папуа Нова Гвинея,,,,,,Q691,Папуа Нова Гвинея
Парагвай,,,,,,Q733,Парагвай
Перу,,,,,,Q419,Перу
Полша,,,,,,Q36,Полша
Португалия,,,,,,Q45,Португалия
Пуерто Рико,,,,,,Q1183,Пуерто Рико
Република Кипър,,,,,,Q229,Република Кипър
Република Конго,,,,,,Q971,Република Конго
Република Южна Африка,,,,,,Q258,Република Южна Африка
"Рождество (остров, Австралия)",,,,,,Q31063,"Рождество (остров, Австралия)"
Руанда,,,,,,Q1037,Руанда
Румъния,,,,,,Q218,Румъния
Русия,,,,,,Q159,Русия
Саба,,,,,,Q25528,Саба
Салвадор,,,,,,Q792,Салвадор
Самоа,,,,,,Q683,Самоа
Сан Марино,,,,,,Q238,Сан Марино
Саудитска Арабия,,,,,,Q851,Саудитска Арабия
Сахарска арабска демократична република,,,,,,Q40362,Сахарска арабска демократична република
Северна Ирландия,,,,,,Q26,Северна Ирландия
Северна Корея,,,,,,Q423,Северна Корея
Северна Македония,,,,,,Q221,Северна Македония
Севернокипърска турска република,,,,,,Q23681,Севернокипърска турска република
Сейнт Винсент и Гренадини,,,,,,Q757,Сейнт Винсент и Гренадини
Сейнт Китс и Невис,,,,,,Q763,Сейнт Китс и Невис
Сейнт Лусия,,,,,,Q760,Сейнт Лусия
Сейшели,,,,,,Q1042,Сейшели
Сен Пиер и Микелон,,,,,,Q34617,Сен Пиер и Микелон
Сенегал,,,,,,Q1041,Сенегал
Сиера Леоне,,,,,,Q1044,Сиера Леоне
Сингапур,,,,,,Q334,Сингапур
Синт Еустациус,,,,,,Q26180,Синт Еустациус
Синт Мартен,,,,,,Q26273,Синт Мартен
Словакия,,,,,,Q214,Словакия
Словения,,,,,,Q215,Словения
Соломонови острови (държава),,,,,,Q685,Соломонови острови (държава)
Сомалиленд,,,,,,Q34754,Сомалиленд
Сомалия,,,,,,Q1045,Сомалия
Сърбия,,,,,,Q403,Сърбия
Унгария,,,,,,Q28,Унгария
Фарьорски острови,,,,,,Q4628,Фарьорски острови
Фиджи,,,,,,Q712,Фиджи
Филипини,,,,,,Q928,Филипини
Финландия,,,,,,Q33,Финландия
Фолкландски острови,,,,,,Q9648,Фолкландски острови
Франция,,,,,,Q142,Франция
Френска Гвиана,,,,,,Q3769,Френска Гвиана
Хаити,,,,,,Q790,Хаити
Хондурас,,,,,,Q783,Хондурас
Хонконг,,,,,,Q8646,Хонконг
Хърватия,,,,,,Q224,Хърватия
Централноафриканска република,,,,,,Q929,Централноафриканска република
Чад,,,,,,Q657,Чад
Черна гора,,,,,,Q236,Черна гора
Чехия,,,,,,Q213,Чехия
Чили,,,,,,Q298,Чили
Шотландия,,,,,,Q22,Шотландия
Южна Джорджия и Южни Сандвичеви острови,,,,,,Q35086,Южна Джорджия и Южни Сандвичеви острови
Ямайка,,,,,,Q766,Ямайка
Япония,,,,,,Q17,Япония
