name,iso_num,iso_2,iso_3,ioc_cc,fifa_cc,wiki_data_id,wiki_id
Sahāras Arābu Demokrātiskā Republika,,,,,,Q40362,Sahāras Arābu Demokrātiskā Republika
Salvadora,,,,,,Q792,Salvadora
Samoa,,,,,,Q683,Samoa
Sanmarīno,,,,,,Q238,Sanmarīno
Santome un Prinsipi,,,,,,Q1039,Santome un Prinsipi
Saūda Arābija,,,,,,Q851,Saūda Arābija
Seišelas,,,,,,Q1042,Seišelas
Senbartelmī,,,,,,Q25362,Senbartelmī
Senegāla,,,,,,Q1041,Senegāla
Senpjēra un Mikelona,,,,,,Q34617,Senpjēra un Mikelona
Sentkitsa un Nevisa,,,,,,Q763,Sentkitsa un Nevisa
Sentlūsija,,,,,,Q760,Sentlūsija
Sentvinsenta un Grenadīnas,,,,,,Q757,Sentvinsenta un Grenadīnas
Serbija,,,,,,Q403,Serbija
Singapūra,,,,,,Q334,Singapūra
Sintmārtena,,,,,,Q26273,Sintmārtena
Sintēstatiusa,,,,,,Q26180,Sintēstatiusa
Sjerraleone,,,,,,Q1044,Sjerraleone
Skotija,,,,,,Q22,Skotija
Slovākija,,,,,,Q214,Slovākija
Slovēnija,,,,,,Q215,Slovēnija
Somija,,,,,,Q33,Somija
Somālija,,,,,,Q1045,Somālija
Somālilenda,,,,,,Q34754,Somālilenda
Spānija,,,,,,Q29,Spānija
Sudāna,,,,,,Q1049,Sudāna
Surinama,,,,,,Q730,Surinama
Svalbāra,,,,,,Q25231,Svalbāra
Svatini,,,,,,Q1050,Svatini
Sīrija,,,,,,Q858,Sīrija
Tadžikistāna,,,,,,Q863,Tadžikistāna
Taizeme,,,,,,Q869,Taizeme
Tanzānija,,,,,,Q924,Tanzānija
Togo,,,,,,Q945,Togo
Tonga,,,,,,Q678,Tonga
Trinidāda un Tobāgo,,,,,,Q754,Trinidāda un Tobāgo
Tunisija,,,,,,Q948,Tunisija
Turcija,,,,,,Q43,Turcija
Turkmenistāna,,,,,,Q874,Turkmenistāna
Tuvalu,,,,,,Q672,Tuvalu
Tērksas un Kaikosas,,,,,,Q18221,Tērksas un Kaikosas
Uganda,,,,,,Q1036,Uganda
Ukraina,,,,,,Q212,Ukraina
Ungārija,,,,,,Q28,Ungārija
Urugvaja,,,,,,Q77,Urugvaja
Uzbekistāna,,,,,,Q265,Uzbekistāna
Vanuatu,,,,,,Q686,Vanuatu
Vatikāns,,,,,,Q237,Vatikāns
Velsa,,,,,WAL,Q25,Velsa
Venecuēla,,,,,,Q717,Venecuēla
Vjetnama,,,,,,Q881,Vjetnama
Vācija,,,,,,Q183,Vācija
Zambija,,,,,,Q953,Zambija
Ziemeļkipra,,,,,,Q23681,Ziemeļkipra
Ziemeļkoreja,,,,,,Q423,Ziemeļkoreja
Ziemeļmaķedonija,,,,,,Q221,Ziemeļmaķedonija
Ziemeļīrija,,,,,,Q26,Ziemeļīrija
Ziemsvētku Sala,,,,,,Q31063,Ziemsvētku Sala
Zimbabve,,,,,,Q954,Zimbabve
Zviedrija,,,,,,Q34,Zviedrija
Zālamana Salas,,,,,,Q685,Zālamana Salas
Čada,,,,,,Q657,Čada
Čehija,,,,,,Q213,Čehija
Čīle,,,,,,Q298,Čīle
Ēģipte,,,,,,Q79,Ēģipte
Īrija,,,,,,Q27,Īrija
Ķīna,,,,,,Q148,Ķīna
Ķīnas Republika,,,,,,Q865,Ķīnas Republika
Šrilanka,,,,,,Q854,Šrilanka
Šveice,,,,,,Q39,Šveice
