snooker_id,title
1207,English Women's Open 
1218,Q Tour 1 
1219,Women's World Championship 
1220,BetVictor Championship League - Winners Group
1221,BetVictor Championship League - Group 2
1222,BetVictor Championship League - Group 1
1223,BetVictor Championship League - Group 3
1224,BetVictor Championship League - Group 4
1225,BetVictor Championship League - Group 5
1226,BetVictor Championship League - Group 6
1227,BetVictor Championship League - Group 7
1245,Winchester Women's Open
1259,Q Tour Play Off
1267,European Masters
1268,Cazoo British Open
1269,Northern Ireland Open
1270,Scottish Open
1271,English Open
1272,Cazoo UK Championship
1273,Cazoo Champion of Champions
1274,Q School 1
1275,Q School 2
1276,Q School 3
1277,Q School 1 Asia & Oceania
1278,Q School 2 Asia & Oceania
1279,European Masters Qualifiers
1280,British Open Qualifiers
1281,Northern Ireland Open Qualifiers
1282,Scottish Open Qualifiers
1283,English Open Qualifiers
1284,6 Red World Championship
1285,BetVictor Championship League
1286,Cazoo Masters
1287,Cazoo World Championship
1288,UK Women's Championship
1289,US Women's Open
1290,World Games
1291,Championship League - Group 1
1292,Championship League - Winners Group
1293,Championship League - Group 2
1294,Championship League - Group 3
1295,Championship League - Group 4
1296,Championship League - Group 5
1297,Championship League - Group 6
1298,Championship League - Group 7
1299,Grp X
