snooker_id,title
510,World Open Qualifiers
511,European Masters
512,International Championship Qualifiers
513,Riga Masters Qualifiers
514,Indian Open
515,Kaspersky Riga Masters
516,Bank of Communications OTO Shanghai Masters
517,International Championship
518,Paul Hunter Classic 
519,Shanghai Masters Qualifiers
520,SangSom 6 Red World Championship
522,Coral English Open
523,Coral Northern Ireland Open
524,Coral Scottish Open
525,Dafabet Champion of Champions
526,Betway  UK Championship
527,F66.com German Masters Qualifiers
528,Indian Open Qualifiers
531,Dafabet Masters
532,F66.com German Masters
533,Bank of Beijing China Open
534,Coral Welsh Open
535,Betfred World Championship Qualifiers
536,Betfred World Championship
537,Hanteng Autos World Open
539,Championship League - Group 1
540,Championship League - Group 2
541,Championship League - Winners' Group
542,Championship League - Group 3
543,Championship League - Group 4
544,Championship League - Group 5
545,Championship League - Group 6
546,Championship League - Group 7
547,jojobet.com Gibraltar Open
548,China Open Qualifiers
555,Ladbrokes Players Championship
556,Ladbrokes World Grand Prix
557,Coral Shoot-Out
558,European Masters Qualifiers
568,Evergrande China Championship
570,Paul Hunter Ladies Classic
580,LITEtask UK Ladies Championship
589,Eden Women's Masters
590,Connie Gough Memorial Trophy
591,Eden Women's World Championship
