snooker_id,full_name
2722,Alex Clenshaw
2746,Connor Benzey
2747,Hayden Staniland
2748,Bradley Cowdroy
2750,Jack Haley
2751,Jamie Wilson
2755,Aidan Murphy
2756,Mark Anthony Taylor
2758,Stan Moody
2759,Jack Dady
2766,Filips Kalnins
2767,Anton Kazakov
2768,Martyn Taylor
2769,Samuel Lee Stevens
2770,Westley Cooper
2771,Carl Mottershaw
2773,Evan Munro
2774,Jamie Tudor
2775,Faizaan Mohammed
2777,Dylan Smith
2778,Liam Pullen
2779,Matthew Lee
2780,David Donovan
2781,Adam Goff
2782,Alfie Lee
2783,Philip O'Connor
2784,Denys Khmelevskyi
2785,Mark Bell
2786,Andrew Tapper
2798,Amaan Iqbal
