snooker_id,full_name
1,Mark J Williams
2,Stephen Maguire
4,Marco Fu
5,Ronnie O'Sullivan
6,Barry Pinches
8,Tom Ford
9,Matthew Stevens
10,Jamie Jones
12,Judd Trump
14,Nigel Bond
15,Mark Davis
16,Barry Hawkins
17,Mark Selby
18,Igor Figueiredo
19,Ben Woollaston
20,Jimmy White
21,Alfie Burden
22,Anthony McGill
23,Paul S Davison
24,Xiao Guodong
25,Andrew Higginson
26,Allan Taylor
27,Martin Gould
28,Mark King
30,Stuart Bingham
32,Daniel Wells
33,Dominic Dale
37,Peter Lines
38,Gerard Greene
39,Kyren Wilson
44,Alan McManus
45,Liam Highfield
47,Matthew Selt
48,Mark Joyce
49,Mitchell Mann
50,Rory McLeod
51,Andy Hicks
52,Graeme Dott
54,Mike Dunn
56,Patrick Wallace
58,Jordan Brown
61,Kurt Maflin
62,Ricky Walden
63,Fergal O'Brien
65,Andrew Pagett
67,David Grace
68,Ryan Day
74,Adam Duffy
76,Sam Baird
79,Jamie O'Neill
81,Zhang Anda
85,Jack Lisowski
87,Ian Burns
89,Zak Surety
90,Jak Jones
92,Robert Milkins
93,Jimmy Robertson
96,Robbie Williams
97,Shaun Murphy
