snooker_id,title
175,Wuxi Classic
176,Wuxi Classic Qualifiers
177,Australian Open
178,Australian Open Qualifiers
179,SangSom 6 Red World Championship
180,UK PTC 1
181,UK PTC 2
182,Bank of Communication Shanghai Masters
183,Bank of Communication Shanghai Masters Qualifiers
184,PartyPoker.com Premier League Finals
185,International Championship
186,International Championship Qualifiers
187,Betfair ET 1
189,UK PTC 3
190,PartyPoker.com Premier League G1
191,PartyPoker.com Premier League G2
193,Betfair ET 2
195,Betfair ET 3
196,Wyldecrest Park Homes World Seniors Championship
197,UK PTC 4
198,williamhill.com UK Championship
199,williamhill.com UK Championship Qualifiers
