snooker_id,title
821,D88 Sports Macau Masters
829,Belgian Women's Open
837,Women's World Championship 
838,Q School 1
839,Q School 2
840,Q School 3
841,Dafabet Masters
842,Betfred World Championship
843,Coral World Grand Prix
844,Coral Players Championship
845,Coral Tour Championship
846,19.com English Open
847,19.com Northern Ireland Open
848,19.com Scottish Open
849,ManBetX Welsh Open
850,ManBetX Champion of Champions
851,Beverly World Cup
852,Kaspersky Riga Masters
853,Paul Hunter Classic
854,SangSom 6 Red World Championship
855,Shanghai Masters
856,Evergrande China Championship
857,Betway UK Championship
858,BetVictor Shoot-Out
859,BetVictor German Masters
860,BetVictor Gibraltar Open
862,World Championship Qualifiers
864,German Masters Qualifiers
865,Riga Masters Qualifiers
866,UK Seniors Championship
867,Q Tour 4
869,World Seniors Championship
870,Matchroom.live English Open
871,International Championship
872,International Championship Qualifiers
873,China Championship Qualifiers
874,Zhiyuan Huanbao Yushan World Open
875,World Open Qualifiers
892,Women's World Cup
897,Women's Tour Championship
898,Challenge Tour 1
899,Challenge Tour 2
