snooker_id,title
603,Dafabet Masters
604,Betfred World Championship Qualifiers
605,Betfred World Championship
616,Super Star Online World Seniors
617,EBSA Play Off
618,Q School 1
619,Q School 2
620,Kaspersky Riga Masters
621,Kaspersky Riga Masters Qualifiers
622,EverGrande China Championship Qualifiers
623,EverGrande China Championship
624,Betway  UK Championship
625,Paul Hunter Classic 
626,Little Swan World Cup
627,Dafabet English Open
628,Dafabet Northern Ireland Open
629,Dafabet Scottish Open
630,ManBetX Welsh Open
631,Ladbrokes World Grand Prix
632,188BET  Champion of Champions
633,Ladbrokes Players Championship
634,Indian Open
635,World Open Qualifiers
636,Indian Open Qualifiers
637,SangSom 6 Red World Championship
638,Yushan World Open 
639,888Sport European Masters
640,European Masters Qualifiers
641,OPPO  International Championship
642,International Championship Qualifiers
643,D88 German Masters
644,German Masters Qualifiers
645,Coral Shoot-Out
646,Fuhua Group China Open
647,Fuhua Group China Open Qualifiers
648,Championship League - Winners' Group
649,Championship League - Group 1
650,Championship League - Group 2
651,Championship League - Group 3
652,Championship League - Group 4
653,Championship League - Group 5
654,Championship League - Group 6
655,Championship League - Group 7
656,ManBetX Gibraltar Open
657,Hong Kong Masters
662,World Games 
663,Camsing Global CVB Snooker Challenge
672,Paul Hunter Women's Classic
684,LITEtask Women's UK Championship
691,Shanghai Masters Qualifiers
692,Juss Sports Shanghai Masters 
693,Eden Women's Masters
