snooker_id,title
900,Challenge Tour 3
901,Challenge Tour 4
902,Challenge Tour 5
903,Challenge Tour 6
904,Challenge Tour 7
905,Challenge Tour 8
906,Challenge Tour 9
907,Challenge Tour 10
908,Challenge Tour Play Off 
909,UK Women's Championship
910,Australian Women's Snooker Open
911,Eden Women's Masters
912,Belgian Women's Open
913,BetVictor Championship League
915,BetVictor European Masters
916,Grp
932,BetVictor Championship League - Winners' Group
933,BetVictor Championship League - Group 1
934,BetVictor Championship League - Group 2
935,BetVictor Championship League - Group 3
936,BetVictor Championship League - Group 4
937,BetVictor Championship League - Group 5
938,BetVictor Championship League - Group 6
939,BetVictor Championship League - Group 7
940,BetVictor European Masters
941,European Masters Qualifiers
946,Haining Open
962,Matchroom.Live Championship League
964,Grp
974,Grp
980,Grp
