snooker_id,title
200,Betfair German Masters
201,Betfair German Masters Qualifiers
202,Betfair ET 4
203,Betfair ET 5
204,Yearly Yuan-jiang Gujinggong Liquor World Open
205,Yearly Yuan-jiang Gujinggong Liquor World Open Qualifiers
207,Championship League - Winners Group
208,Championship League - Group 1
209,Championship League - Group 2
210,Championship League - Group 3
211,Championship League - Group 4
212,Championship League - Group 5
213,Championship League - Group 6
214,Championship League - Group 7
215,Bank of Beijing China Open
216,Bank of Beijing China Open Qualifiers
217,Betfair Masters
218,Betfair Shoot-Out
219,BetVictor Welsh Open
220,BetVictor Welsh Open Qualifiers
223,Dafabet PTC Finals
224,Betfair World Championship
225,Betfair World Championship Qualifiers
226,Guotai Liquor APTC1
227,Guotai Liquor APTC2
230,Guotai Liquor APTC3
239,Betfair ET 2 Stage 1
240,Betfair ET 6 Stage 1
241,World Seniors Quals
247,Betfair ET 6
251,Q School 1
252,Q School 2
253,Q School 3
254,EBSA Play-Offs
255,Sports Lottery Cup Wuxi Classic
257,Sports Lottery Cup Wuxi Classic Qualifiers
258,Australian Open
259,Australian Open Qualifiers
260,Euro Tour 1
261,Asian Tour 1
262,Euro Tour 2
263,World Games
264,Bank of Communications Shanghai Masters
265,Bank of Communications Shanghai Masters Qualifiers
266,Indian Open
267,Indian Open Qualifiers
268,Euro Tour 3
269,Euro Tour 4
270,SangSom 6 Red World Championship
271,Asian Tour 2
272,International Championship
273,International Championship Qualifiers
274,Euro Tour 5
276,888casino.com World Seniors
277,Asian Tour 3
278,Euro Tour 6
279,Euro Tour 7
280,888casino Champion of Champions
281,williamhill.com UK Championship
282,Euro Tour 8
283,German Masters
284,German Masters Qualifiers
285,Gujinggong Liquor Haikou World Open
286,Gujinggong Liquor Haikou World Open Qualifiers
287,Championship League - Group 2
288,Championship League - Group 1
289,Championship League - Winners' Group
290,Dafabet Masters
291,888casino.com Shoot-Out
292,China Open
293,China Open Qualifiers
294,BetVictor Welsh Open
295,Asian Tour 4
296,Wyldecrest Parks PTC Finals
297,Dafabet World Championship
298,Dafabet World Championship Qualifiers
