snooker_id,title
304,888casino.com World Seniors Quals
313,General Cup
323,Championship League - Group 3
324,Championship League - Group 4
325,Championship League - Group 5
326,Championship League - Group 6
327,Championship League - Group 7
328,EBSA Play-Offs
329,Q School 1
330,Q School 2
331,Asian Tour 1
332, Sports Lottery Cup Wuxi Classic
333,Australian Open
334,Wuxi Classic Qualifiers
335,Australian Open Qualifiers
336,Euro Tour 1
337,Euro Tour 2
338,Euro Tour 3
339,Euro Tour 4
340,Kreativ Dental Euro Tour 5
341,Kreativ Dental Euro Tour 6
343,Asian Tour 2
344,Asian Tour 3
345,Bank of Communications OTO Shanghai Masters
346,Indian Open Qualifiers
347,International Championship Qualifiers
348,Bank of Communications OTO Shanghai Masters Qualifiers
349,Indian Open
350,International Championship
351,SangSom 6 Red World Championship
352,Dafabet Champion of Champions
353,Coral UK Championship
354,German Masters Qualifiers
355,Kreativ Dental German Masters
358,Championship League - Winners' Group
359,Championship League - Group 5
360,Championship League - Group 3
361,Championship League - Group 7
362,Championship League - Group 6
363,Dafabet Masters
364,Baic Motor China Open
365,BetVictor Welsh Open
366,PTC Finals
367,Betfred World Championship
368,Betfred World Championship Qualifiers
369,China Open Qualifiers
370,Betway World Seniors
371,Betway Shoot-Out
372,888.com World Grand Prix
383,General Cup 
387,World Seniors Quals
389,Championship League - Group 1
390,Championship League - Group 2
391,Championship League - Group 4
392,Australian Open Qualifiers
396,Australian Open
397,Euro Tour 1
398,Bank of Communications OTO Shanghai Masters Qualifiers
399,Euro Tour 2
