snooker_id,title
400,Q School 1
401,Q School 2
402,SangSom 6 Red World Championship
403,Bank of Communications OTO Shanghai Masters
404,International Championship Qualifiers
405,Euro Tour 3
406,Asian Tour
407,International Championship
408,188BET Champion of Champions
409,Euro Tour 4
410,Betway UK Championship
411,Dafabet Euro Tour 5
412,EBSA Play-Offs
416,Betfred World Championship
417,Dafabet Masters
419,918.com German Masters Qualifiers
420,918.com German Masters
421,Betfred World Championship Qualifiers
422,BAIC Motor China Open
423,Ladbrokes PTC Finals
425,Euro Tour 6
427,BetVictor Welsh Open
429,Ladbrokes World Grand Prix
430,Championship League - Group 1
431,Championship League -  Winners' Group
433,Championship League - Group 2
434,Championship League - Group 3
435,Championship League - Group 4
436,Championship League - Group 5
437,Championship League - Group 6
438,Championship League - Group 7
446,888sport World Seniors
447,Coral Shoot-Out
452,Nongfu Spring World Cup
453,China Open Qualifiers
455,Men's World U21
467,Women's World U21
